"Κατάσταση","Κατάσταση"
"Εκκίνηση","Εκκίνηση"
"Προορισμός","Προορισμός"
"Τελευταία ενημέρωση","Τελευταία ενημέρωση"
"Ιστορικό αποστολής","Ιστορικό αποστολής"
"Checkpoint","Checkpoint"
"Περιγραφή","Περιγραφή"
"Ενημέρωση","Ενημέρωση"
"Σχόλια","Σχόλια"
"You cannot access this area directly","You cannot access this area directly"
"Invalid action. You must select at least 1 order to print vouchers from","Μη έγκυρη ενέργεια. Πρέπει να επιλέξετε τουλάχιστον 1 παραγγελία για την εκτύπωση αποδεικτικού"
"Created voucher for order #%s.Voucher: %s","Δημιουργήθηκε αποδεικτικό για την παραγγελία #%s.Αποδεικτικό: %s"
"Could not create voucher for order #%s. Error: %s","Δεν ήταν δυνατή η δημιουργία αποδεικτικού για την παραγγελία #%s. Σφάλμα: %s"
"Could not create voucher for order #%s","Δεν ήταν δυνατή η δημιουργία αποδεικτικού για την παραγγελία #%s"
"No Vouchers to print","Κανένα Αποδεικτικό προς Εκτύπωση"
"No Receipt lists to print","Καμιά Λίστα προς Εκτύπωση"
"Create Voucher","Δημιουργία Αποδεικτικού"
"Print Voucher","Εκτύπωση Αποδεικτικού"
"Delete Voucher","Διαγραφή Αποδεικτικού"
"Create Vouchers","Δημιουργία Αποδεικτικών"
"Print Vouchers","Εκτύπωση Αποδεικτικών"
"Voucher %s deleted","Το αποδεικτικό %s διαγράφηκε"
"Could not delete voucher %s","Αδύνατη η διαγραφή του αποδεικτικού %s"
"Are you sure you want to delete this voucher?","Είστε σίγουρος ότι θέλετε να διαγράψετε αυτό το αποδεικτικό;"
"Previous Receipt Lists","Προηγούμενες Λίστες Αποδεικτικών"
"Created at","Created at"
"Action","Action"
"Print","Εκτύπωση"
"Receipt Lists","Λίστα Αποδεικτικών"
"Order #%s cannot be shipped or has already been shipped","Η παραγγελία #%s δεν μπορεί να αποσταλεί ή έχει ήδη αποσταλλεί"
"Status","Κατάσταση"
"Invalid action","Μη έγκυρη ενέργεια"
"Αντικαταβολή (Μόνο για αλλαγές)","Αντικαταβολή (Μόνο για αλλαγές)"
"Possible wrong address for order #%s","Possible wrong address for order #%s"
"Possible address problems with order(s):","Possible address problems with order(s):"
"No problems detected","No problems detected"
"Validate Address","Validate Address"
"Voucher","Αποδεικτικό"
"Customer Name","Όνομα Πελάτη"
"Order","Παραγγελία"
"Voucher Value","Voucher Value"
"Upload XLS","Upload XLS"
"File %s uploaded","Το αρχείο %s ανέβηκε"
"Updated","Updated"
"Could not update Record","Could not update Record"
"Record not found","Record not found"
"Order Total","Order Total"
"Delivered at","Delivered at"
"Authentication error!","Σφάλμα πιστοποίησης"
"Invalid action. You must select at least 1 order to create vouchers for","Μη έγκυρη ενέργεια. Πρέπει να επιλέξετε τουλάχιστον 1 παραγγελία για την δημιουργία αποδεικτικού"
"SMS Notification Sent","Έγινε αποστολή SMS"
"SMS Notification not sent","Δεν έγινε αποστολή SMS"
"Όλες οι εκκρεμείς αποστολές οριστικοποιήθηκαν","Όλες οι εκκρεμείς αποστολές οριστικοποιήθηκαν"
"Antikatavoles","Έλεγχος αντικαταβολών"